GeneFusion	known	n	std1	std2	run	config	barcode	log_n	std_avg	log_std_avg	Identifier	isTrue
RUNX1::RUNX1T1	True	6	29866	216502	Run1	hac	barcode15	0.8450980400142568	123184.0	5.090557827845968	RUNX1::RUNX1T1_barcode15	False
ETV6::RUNX1	True	7	71904	266761	Run1	hac	barcode16	0.9030899869919435	169332.5	5.228742885019245	ETV6::RUNX1_barcode16	False
RUNX1::RUNX1T1	True	3	24259	296979	Run1	hac	barcode16	0.6020599913279624	160619.0	5.205799621570576	RUNX1::RUNX1T1_barcode16	False
ETV6::RUNX1	True	8	79197	304229	Run1	sup	barcode09	0.9542425094393249	191713.0	5.282653828583537	ETV6::RUNX1_barcode09	False
RUNX1::RUNX1T1	True	3	25873	336054	Run1	sup	barcode09	0.6020599913279624	180963.5	5.257593387210411	RUNX1::RUNX1T1_barcode09	False
EBF1::PDGFRB	True	2	17997	188727	Run1	sup	barcode09	0.47712125471966244	103362.0	5.014365105764575	EBF1::PDGFRB_barcode09	False
ETV6::RUNX1	True	4	63399	207677	Run1	sup	barcode10	0.6989700043360189	135538.0	5.132064277112742	ETV6::RUNX1_barcode10	False
RUNX1::RUNX1T1	True	4	24433	364517	Run1	sup	barcode10	0.6989700043360189	194475.0	5.288866013318863	RUNX1::RUNX1T1_barcode10	False
PML::RARA	True	269	1331	1186	Run1	sup	barcode11	2.4313637641589874	1258.5	3.100198171834132	PML::RARA_barcode11	True
ETV6::RUNX1	True	9	60627	298209	Run1	sup	barcode11	1.0	179418.0	5.253868431786277	ETV6::RUNX1_barcode11	False
RUNX1::RUNX1T1	True	6	51849	243018	Run1	sup	barcode11	0.8450980400142568	147433.5	5.1685991212872295	RUNX1::RUNX1T1_barcode11	False
RUNX1::RUNX1T1	True	210	8013	13978	Run1	sup	barcode12	2.3242824552976926	10995.5	4.0412544785617674	RUNX1::RUNX1T1_barcode12	True
ETV6::RUNX1	True	7	74059	386339	Run1	sup	barcode12	0.9030899869919435	230199.0	5.362105319293773	ETV6::RUNX1_barcode12	False
ETV6::RUNX1	True	10	74809	254343	Run1	sup	barcode13	1.0413926851582251	164576.0	5.216369141501842	ETV6::RUNX1_barcode13	False
RUNX1::RUNX1T1	True	8	54777	238396	Run1	sup	barcode13	0.9542425094393249	146586.5	5.166096938159966	RUNX1::RUNX1T1_barcode13	False
ETV6::RUNX1	True	5	62439	435793	Run1	sup	barcode14	0.7781512503836436	249116.0	5.3964033652493715	ETV6::RUNX1_barcode14	False
RUNX1::RUNX1T1	True	5	50587	385354	Run1	sup	barcode14	0.7781512503836436	217970.5	5.3383997128620475	RUNX1::RUNX1T1_barcode14	False
KMT2A::MLLT10	True	2	59113	15444	Run1	sup	barcode14	0.47712125471966244	37278.5	4.5714700788778355	KMT2A::MLLT10_barcode14	False
PML::RARA	True	274	1021	1222	Run1	sup	barcode15	2.439332693830263	1121.5	3.0501863496753607	PML::RARA_barcode15	True
